epoque;perte;precision;test_perte;test_precision
1;0.3156;0.9564;0.0939;0.9930
2;0.0571;0.9962;0.0334;0.9966
3;0.0253;0.9981;0.0191;0.9971
4;0.0145;0.9991;0.0130;0.9982
5;0.0092;0.9996;0.0098;0.9984
6;0.0065;0.9999;0.0079;0.9989
7;0.0048;0.9999;0.0066;0.9993
8;0.0038;1.0000;0.0057;0.9993
9;0.0027;1.0000;0.0050;0.9995
10;0.0023;1.0000;0.0045;0.9995
11;0.0020;1.0000;0.0041;0.9995
12;0.0016;1.0000;0.0038;0.9995
13;0.0013;1.0000;0.0035;0.9996
14;0.0011;1.0000;0.0032;0.9996
15;9.7203e-04;1.0000;0.0031;0.9996
16;8.6341e-04;1.0000;0.0029;0.9995
17;7.8656e-04;1.0000;0.0028;0.9996
18;6.3678e-04;1.0000;0.0026;0.9996
19;5.5912e-04;1.0000;0.0025;0.9996
20;5.1283e-04;1.0000;0.0024;0.9996
21;4.6693e-04;1.0000;0.0023;0.9996
22;4.0682e-04;1.0000;0.0022;0.9996
23;3.3483e-04;1.0000;0.0022;0.9996
24;3.5540e-04;1.0000;0.0021;0.9996
25;2.8643e-04;1.0000;0.0020;0.9996
26;2.8762e-04;1.0000;0.0020;0.9996
27;2.2604e-04;1.0000;0.0019;0.9996
28;2.1655e-04;1.0000;0.0019;0.9996
29;1.9989e-04;1.0000;0.0018;0.9996
30;1.9989e-04;1.0000;0.0018;0.9996
31;1.5844e-04;1.0000;0.0017;0.9996
32;1.6772e-04;1.0000;0.0017;0.9996
33;1.4515e-04;1.0000;0.0016;0.9996
34;1.3720e-04;1.0000;0.0016;0.9996
35;1.4224e-04;1.0000;0.0016;0.9996
36;1.0343e-04;1.0000;0.0016;0.9996
37;1.1142e-04;1.0000;0.0016;0.9996
38;9.6318e-05;1.0000;0.0015;0.9996
39;8.0762e-05;1.0000;0.0015;0.9996
40;7.3356e-05;1.0000;0.0015;0.9996
41;7.9517e-05;1.0000;0.0014;0.9996
42;7.4549e-05;1.0000;0.0014;0.9996
43;6.0407e-05;1.0000;0.0014;0.9996
44;7.8622e-05;1.0000;0.0014;0.9996
45;5.0406e-05;1.0000;0.0013;0.9996
46;6.1043e-05;1.0000;0.0013;0.9996
47;4.8154e-05;1.0000;0.0013;0.9996
48;4.0711e-05;1.0000;0.0013;0.9996
49;4.3802e-05;1.0000;0.0012;0.9996
50;3.9604e-05;1.0000;0.0012;0.9996
51;3.5405e-05;1.0000;0.0012;0.9996
52;3.5683e-05;1.0000;0.0012;0.9996
53;2.8691e-05;1.0000;0.0012;0.9996
54;3.0244e-05;1.0000;0.0012;0.9996
55;2.4553e-05;1.0000;0.0012;0.9996
56;2.1893e-05;1.0000;0.0012;0.9996
57;2.2436e-05;1.0000;0.0012;0.9996
58;2.2523e-05;1.0000;0.0012;0.9996
59;2.2583e-05;1.0000;0.0012;0.9996
60;1.8545e-05;1.0000;0.0011;0.9996


